Sample ID,Raw Bases,Raw Reads,High Quality Bases,High Quality Reads,Average Read Length,Scaftigs,Total Scaftig Length,Genes,Total Gene Length
CCIS27304052ST-3-0,7705217856,78624672,3405411697,48552680,70,46790.0,79401369.0,110252.0,70030800.0
CCIS15794887ST-4-0,6553847486,67565438,3698892069,45764894,81,75269.0,117911971.0,166817.0,103936764.0
CCIS74726977ST-3-0,18092226758,179130958,11663668391,140945980,83,122879.0,212928793.0,288833.0,188252217.0
CCIS16561622ST-4-0,9261500588,98526602,7453752248,87807063,85,92245.0,203190355.0,253889.0,179771706.0
CCIS79210440ST-3-0,6926935176,70683012,3056783044,44022141,69,54536.0,83361552.0,122205.0,73205352.0
CCIS82507866ST-3-0,6997047904,71398448,3180717679,45388199,70,54886.0,75618494.0,113181.0,66756150.0
CCIS19142497ST-3-0,6069176260,61930370,2287755331,33262702,69,34206.0,52818739.0,75528.0,46308237.0
CCIS98482370ST-3-0,7183038968,73296316,3154490787,45190917,70,44723.0,69598068.0,98715.0,61538688.0
CCIS47745468ST-4-0,8278393026,85344258,6650230179,75963441,88,70837.0,136067932.0,159045.0,124370925.0
CCIS00281083ST-3-0,7371520800,75219600,3298640533,47190574,70,34063.0,48846682.0,71425.0,42654474.0
CCIS32452666ST-4-0,5945323224,61291992,4440407460,53858804,82,84571.0,147643611.0,190045.0,133478049.0
CCIS94417875ST-3-0,6864520348,70046126,3132363570,44052987,71,49248.0,72250661.0,109078.0,63436980.0
CCIS51667829ST-4-0,9474588248,100793492,6298057148,80732841,78,83674.0,166326158.0,214114.0,148689858.0
CCIS27927933ST-4-0,10969520820,116697030,7788532840,97043260,80,30480.0,86046196.0,103836.0,76426188.0
CCIS45571137ST-3-0,6755282100,68931450,2643933782,37805003,70,39914.0,55447086.0,84083.0,48726108.0
CCIS81139242ST-4-0,9297759818,95853194,5713080966,66773170,86,54297.0,129703478.0,157576.0,115480899.0
CCIS21126322ST-4-0,10842139692,111774636,6704190994,82207625,82,98300.0,183113009.0,245310.0,162653472.0
CCIS17669415ST-4-0,15946299886,165769552,5754783062,69983469,82,82386.0,118129377.0,176505.0,103821285.0
CCIS44676181ST-4-0,4565807848,47070184,3614755975,42157335,86,57987.0,116615513.0,153970.0,103165827.0
CCIS56503244ST-3-0,4369954156,46488874,2438528318,31477687,77,51071.0,75573384.0,112263.0,66770619.0
CCIS29210128ST-4-0,6173542690,63644770,3986872657,48275455,83,44037.0,98581317.0,117258.0,88050366.0
CCIS48725289ST-4-0,4801032848,49495184,2924500773,35971780,81,62280.0,102565104.0,144076.0,90602430.0
CCIS64785924ST-20-0,1466741594,14522194,1128108433,12636839,89,17682.0,24482160.0,36780.0,21388920.0
CCIS22275061ST-4-0,10378008148,110404342,7763227111,92672216,84,73543.0,170831944.0,217377.0,150858759.0
CCIS03473770ST-4-0,6176829826,63678658,3733212784,46217866,81,100979.0,147891172.0,214505.0,132160317.0
CCIS10706551ST-3-0,8437335660,89758890,5152050233,65983849,78,40204.0,86931087.0,110379.0,76969074.0
CCIS64773582ST-4-0,9562927942,98586886,7966706877,91118209,87,97153.0,192738838.0,250665.0,171939021.0
CCIS87290971ST-4-0,6573464766,67767678,4753470798,59042659,81,71195.0,132426700.0,169075.0,119335581.0
CCIS06260551ST-3-0,4923394572,52376538,2826425982,36441111,78,36459.0,52886016.0,79665.0,45887862.0
CCIS40244499ST-3-0,8159525240,86803460,4411570203,55812127,79,45295.0,71938399.0,98088.0,63784020.0
CCIS85214191ST-3-0,7770538388,82665302,4841564987,60695192,80,25788.0,75812295.0,84747.0,67887183.0
CCIS77100899ST-4-0,7637339814,78735462,5675017036,69103733,82,78634.0,145332952.0,187609.0,130021635.0
CCIS08668806ST-3-0,3578132748,38065242,1560454141,20580422,76,28218.0,38383562.0,57797.0,33799350.0
CCIS50369211ST-20-0,2406893226,23830626,1875556820,20912144,90,17639.0,36430904.0,48173.0,32228643.0
CCIS90903952ST-3-0,7193871700,76530550,4099922459,53724201,76,52061.0,83565409.0,114669.0,74589579.0
CCIS87167916ST-4-0,7408540288,76376704,3868143620,50204707,77,49255.0,71807304.0,90019.0,67001454.0
CCIS94496512ST-4-0,5307737762,54718946,3230104037,40204072,80,33703.0,65029275.0,85320.0,57224271.0
CCIS83574003ST-4-0,8869612876,91439308,7038083357,80482805,87,48238.0,112992590.0,132613.0,101573571.0
CCIS90443472ST-4-0,8865190258,91393714,5613567382,71798343,78,95688.0,185733956.0,244084.0,165500169.0
CCIS58234805ST-4-0,7119366604,73395532,2054641330,24459826,84,19951.0,52046209.0,63352.0,46606785.0
CCIS91228662ST-4-0,10831204494,111661902,8027807010,94076829,85,97869.0,187734536.0,240430.0,167350791.0
CCIS71301801ST-4-0,10522558060,108479980,8220141004,95671668,86,50624.0,130925261.0,155101.0,116679537.0
CCIS24898163ST-4-0,1697320550,17498150,1062478244,12960596,82,15938.0,16927192.0,23461.0,15809994.0
CCIS53355328ST-4-0,5410068882,55773906,3182274234,40022941,80,50036.0,82938156.0,116767.0,73078749.0
CCIS41222843ST-4-0,9564925632,101754528,7602125134,90240238,84,88585.0,178178493.0,234873.0,158159913.0
CCIS81887263ST-4-0,9412859630,97039790,7809347444,89976522,87,112831.0,215719694.0,287925.0,191015211.0
CCIS29688262ST-20-0,9180217846,90893246,7382792447,81666867,90,67166.0,124442465.0,164434.0,110461308.0
CCIS87116798ST-4-0,12859818844,132575452,4239137877,50624818,84,57931.0,88154083.0,126847.0,78118011.0
CCIS81735969ST-20-0,8440372040,83568040,6621069584,73658101,90,81415.0,178959401.0,223394.0,158235033.0
CCIS87605453ST-4-0,8799451296,93611184,7016009997,83221305,84,53237.0,126698959.0,153249.0,112467618.0
CCIS83870198ST-4-0,9668265674,99672842,6297114104,75224196,84,80518.0,134557964.0,166861.0,121566090.0
CCIS61287323ST-4-0,9735953632,100370656,6259486032,79673095,79,70161.0,124374266.0,167407.0,109612755.0
CCIS28384594ST-4-0,6024368136,62106888,4629074799,54550110,85,61376.0,85086505.0,122885.0,76929969.0
CCIS11362406ST-4-0,11734845320,124838780,8334068161,103363989,81,94939.0,177890315.0,239115.0,156970644.0
CCIS14449628ST-4-0,6537444398,67396334,4256129777,51748595,82,87217.0,134475802.0,165312.0,121665117.0
CCIS21278152ST-4-0,7288376494,75137902,4306955793,53183717,81,69051.0,128157342.0,168561.0,113921541.0
CCIS25399172ST-4-0,3743287230,38590590,2474388952,29867294,83,43073.0,68823631.0,86962.0,63082608.0
CCIS34055159ST-4-0,5624567310,57985230,3943928884,46734542,84,34346.0,64303821.0,78944.0,58279368.0
CCIS90166425ST-4-0,8635239536,89023088,5146118151,62472516,82,85750.0,140106651.0,175736.0,127877889.0
CCIS76845094ST-20-0,17502368174,173290774,13684791942,153432400,89,86304.0,197696489.0,247557.0,175743318.0
CCIS41548810ST-4-0,6245720002,64388866,4694864212,55469214,85,93872.0,138945443.0,181239.0,127550445.0
CCIS98512455ST-4-0,7707377112,79457496,3914532361,46052438,85,62497.0,121476262.0,151451.0,109253529.0
CCIS52234160ST-4-0,6818170546,70290418,4130244845,51200510,81,67528.0,120383982.0,163742.0,106341081.0
CCIS50561855ST-4-0,4890544836,50417988,2999673577,36741705,82,50823.0,58955203.0,80468.0,55308342.0
CCIS83445808ST-4-0,5377224876,55435308,3640432033,43316779,84,85089.0,104303303.0,149460.0,94889130.0
CCIS37250421ST-4-0,6587156898,67908834,4298774503,52179172,82,69523.0,110821925.0,141226.0,101349591.0
CCIS35092938ST-4-0,6059196956,62465948,3817577484,46553845,82,79114.0,116158597.0,169701.0,103106823.0
CCIS50148151ST-4-0,6939875282,71545106,4488120560,54709150,82,58306.0,112184469.0,132701.0,102183786.0
CCIS62605362ST-3-0,17911016194,177336794,10842063366,134059337,81,130985.0,243403302.0,324314.0,215763234.0
CCIS87252800ST-4-0,3109452758,32056214,2216475835,26015120,85,40094.0,70896173.0,82988.0,64888677.0
CCIS22958137ST-20-0,11218585100,111075100,8757847513,98059549,89,99654.0,204767067.0,262627.0,182315769.0
CCIS48507077ST-4-0,7086773052,73059516,4621474821,58318794,79,43277.0,85738913.0,111178.0,76386711.0
CCIS32105356ST-4-0,6686413894,68932102,4392664436,52824987,83,58403.0,97243858.0,133205.0,86790009.0
CCIS81710917ST-20-0,12337221912,122150712,9060668209,103695516,87,60997.0,158835466.0,192809.0,140443566.0
CCIS16326685ST-4-0,6854961676,70669708,4547422592,53344597,85,54973.0,112240609.0,141378.0,99724593.0
CCIS11019776ST-4-0,7419071772,76485276,4310576345,54114916,80,69636.0,94373446.0,129092.0,86855880.0
CCIS53043478ST-4-0,5635138176,58094208,3331840282,41468101,80,77883.0,115107317.0,163358.0,102297360.0
CCIS98832363ST-4-0,9357072214,96464662,5748965241,69793122,82,101111.0,184036872.0,247564.0,163467714.0
CCIS02124300ST-4-0,12156487020,129324330,7846466205,87631061,90,82862.0,142168107.0,190150.0,127456389.0
CCIS44743950ST-4-0,9838698942,101429886,6695072003,83383804,80,54713.0,140436706.0,161898.0,126768693.0
CCIS10793554ST-4-0,4430501384,45675272,3369353210,40445720,83,75229.0,123737332.0,168073.0,110907420.0
CCIS59132091ST-4-0,11270844776,119902604,8528422674,103034276,83,67683.0,149601743.0,190214.0,133019169.0
CCIS96387239ST-4-0,4025929322,41504426,2752039312,34953403,79,39891.0,59948934.0,78185.0,54467490.0
CCIS82146115ST-4-0,10684626372,113666238,7855270798,96243432,82,61110.0,148169336.0,184558.0,131346225.0
CCIS31434951ST-20-0,3424780114,33908714,2620882999,29591263,89,41091.0,61924037.0,88813.0,55104120.0
CCIS33816588ST-4-0,7160769308,73822364,5678829952,64242756,88,71587.0,161295966.0,201664.0,142944969.0
CCIS12656533ST-4-0,5031088912,51866896,3848992468,45546920,85,65460.0,119597977.0,162357.0,105345096.0
CCIS41806458ST-4-0,7340339394,75673602,4887131910,61160335,80,56490.0,103048732.0,141372.0,91706364.0
CCIS53557295ST-4-0,3565201826,36754658,2588976210,31774168,81,47462.0,83784714.0,107468.0,75633699.0
CCIS47284573ST-4-0,4444373936,45818288,3264825557,39745148,82,69264.0,118874482.0,158863.0,106271076.0
CCIS76563044ST-4-0,8842165368,91156344,6214540074,76593756,81,87177.0,144274911.0,199368.0,127626075.0
CCIS93040568ST-20-0,1518630950,15035950,1233826155,13523536,91,26684.0,42785760.0,60642.0,37362813.0
CCIS45793747ST-4-0,9058637120,96368480,7119073064,84805529,84,84819.0,189926932.0,236872.0,169152930.0
CCIS95097901ST-4-0,5663863174,58390342,4271802257,51567166,83,48771.0,102918961.0,129419.0,91628538.0
CCIS80834637ST-4-0,10128212736,107746944,8078577899,95462023,85,48938.0,131070952.0,155005.0,116666595.0
CCIS63910149ST-4-0,5848770006,60296598,1992837785,24843993,80,35586.0,55558332.0,79279.0,49198020.0
CCIS84543192ST-4-0,5106364210,52642930,2811757403,35125765,80,44959.0,57314930.0,81273.0,51838005.0
CCIS38765456ST-20-0,10518997894,104148494,7211705897,81682982,88,118543.0,202698130.0,276237.0,179959368.0
CCIS82944710ST-20-0,1002944140,9930140,803852416,8890877,90,13734.0,16577322.0,27179.0,14485488.0
CCIS55230578ST-4-0,7900895022,81452526,4925782891,62688390,79,84284.0,155104349.0,207442.0,137613780.0
CCIS24254057ST-4-0,15855755276,156987676,11694061283,133597487,88,83356.0,167965283.0,206341.0,151672125.0
CCIS78318719ST-4-0,7170339522,73921026,4966168603,59124409,84,84143.0,130593875.0,174519.0,119199858.0
CCIS44757994ST-4-0,6129583842,63191586,4076256445,49916410,82,54289.0,80010018.0,105639.0,72342222.0
CCIS65479369ST-4-0,4237230048,43682784,1369967696,16650614,82,25843.0,50699254.0,63765.0,45691617.0
CCIS62794166ST-4-0,4426167424,45630592,3209540648,39333809,82,59057.0,105243411.0,135974.0,94623981.0
CCIS77252613ST-4-0,9321214806,96094998,7783680878,89494083,87,79580.0,170054902.0,215263.0,150646176.0
CCIS11015875ST-4-0,6351827138,65482754,5021042144,57428555,87,88906.0,135021347.0,175777.0,123640545.0
CCIS55531770ST-4-0,4558691152,46996816,1805826811,23061446,78,31949.0,48228229.0,65130.0,43766235.0
CCIS70398272ST-4-0,8563964000,91106000,6568369799,78352675,84,78832.0,185349100.0,229447.0,164852478.0
CCIS35100175ST-4-0,6041713094,62285702,4449210952,54177103,82,71052.0,134906575.0,178276.0,119397876.0
CCIS22416007ST-4-0,9748487328,103707312,7567990129,90417909,84,60981.0,136753733.0,171162.0,121393422.0
CCIS41288781ST-4-0,4932168312,50847096,3791242240,44391860,85,63552.0,113809554.0,138682.0,103527051.0
CCIS59903910ST-4-0,7504954602,77370666,4576724560,56045312,82,56800.0,86439175.0,121915.0,76878438.0
CCIS12370844ST-4-0,16048963492,164788368,497672074,5783578,86,2308.0,3345586.0,5364.0,2856516.0
CCIS72607085ST-4-0,5093456808,52509864,3848726385,46481994,83,41007.0,87278459.0,111024.0,77256282.0
CCIS46047672ST-4-0,6242660816,64357328,3427270177,42982745,80,33873.0,78025786.0,96566.0,69658041.0
CCIS22906510ST-20-0,9784554174,96876774,7634935649,85806932,89,85637.0,187431856.0,233512.0,166436142.0
CCIS52370277ST-4-0,6213827372,64060076,4655519051,56128839,83,44979.0,116083144.0,134318.0,103664496.0
CCIS02379307ST-4-0,6596027592,67306404,907920835,10574044,86,19409.0,26497138.0,38743.0,23318679.0
CCIS48579360ST-4-0,6336700570,65326810,2772292441,34233614,81,38276.0,56981381.0,80455.0,50836497.0
CCIS46467422ST-4-0,1593829698,16431234,1015859086,12659025,80,21224.0,30858098.0,37735.0,28400544.0
CCIS54027808ST-4-0,5114796614,52729862,3917549022,46913589,84,57379.0,93697485.0,125680.0,83836314.0
CCIS15704761ST-4-0,5350507372,54597014,3631882002,42764985,85,32683.0,78030722.0,98635.0,68506173.0
CCIS11558985ST-4-0,4717819176,48141012,3229069072,37988049,85,44283.0,66471343.0,91410.0,59257407.0
CCIS13047523ST-4-0,6721166004,71501766,5363998665,62891719,85,,,,
CCIS94603952ST-4-0,7668667016,81581564,5868133832,69804753,84,,,,
CCIS02856720ST-4-0,8082696408,85986132,6190369807,73567419,84,,,,
CCIS07648107ST-4-0,7143565720,75995380,5739043252,66245949,87,,,,
CCIS34604008ST-4-0,7590288876,80747754,6044922649,71147118,85,,,,
CCIS63468405ST-4-0,7424897004,78988266,5705040835,67395395,85,,,,
CCIS16383318ST-4-0,8569359224,91163396,6621569027,78085760,85,,,,
CCIS36699628ST-4-0,7252528640,77154560,5731938297,66456701,86,,,,
CCIS95409808ST-4-0,7751249964,82460106,5931273309,66865743,89,,,,
CCIS74239020ST-4-0,6637676708,70613582,5138705109,60489281,85,,,,
CCIS05314658ST-4-0,6863765884,73018786,5175146179,61688036,84,,,,
CCIS71578391ST-4-0,8144742424,86646196,6260894901,74021867,85,,,,
CCIS50003399ST-4-0,6865478564,73037006,5408998961,63416533,85,,,,
CCIS36797902ST-4-0,4869074604,51798666,3608044435,43056463,84,,,,
CCIS11354283ST-4-0,7221591360,76825440,5296232853,62234037,85,,,,
CCIS50471204ST-4-0,8616950860,91669690,6959611519,81465089,85,,,,
CCIS20795251ST-4-0,6216072232,66128428,4611051584,55286215,83,,,,
CCIS07277498ST-4-0,7129178456,75842324,5667757614,66936604,85,,,,
CCIS90164298ST-4-0,7126634628,75815262,5520171452,64903644,85,,,,
CCIS23164343ST-4-0,7453448188,79292002,5871764899,68712649,85,,,,
CCIS03857607ST-4-0,6852602068,72900022,5403961311,63911163,85,,,,
CCIS63448910ST-4-0,6652567436,70771994,5241560072,61901654,85,,,,
CCIS88007743ST-4-0,6850879236,72881694,5261700925,62698501,84,,,,
CCIS51595129ST-4-0,6477623096,68910884,5016717280,59350393,85,,,,
CCIS09568613ST-4-0,8268431948,87962042,6488989235,75876874,86,,,,
CCIS07539127ST-4-0,7374460364,78451706,5817465348,68406226,85,,,,
CCIS41692898ST-4-0,8344949640,88776060,6490271467,75046271,86,,,,
CCIS44093303ST-4-0,7824907048,83243692,6267951889,73343518,85,,,,
CCIS00146684ST-4-0,8306701040,88369160,6512170482,76003628,86,,,,
CCIS78100604ST-4-0,8453033660,89925890,6619013691,78150540,85,,,,
CCIS48174381ST-4-0,5410520056,57558724,4358945393,51253211,85,,,,
CCIS88317640ST-4-0,7753961300,82488950,6089304969,72027798,85,,,,
